N,AreaEstimate,RelativeError
26100,0.9602937353252459,0.016703295251063333
26600,0.9411466197039067,0.0035685599435093273
27100,0.9338273022459006,0.011317828635783978
27600,0.9464992504015896,0.0020984949048210087
28100,0.934847379018109,0.010237830529410751
28600,0.934140895256603,0.010985814549239003
29100,0.9301177490968671,0.015245288299210782
29600,0.9426530469881349,0.0019736421307713216
30100,0.9667226881499583,0.023509897524361476
30600,0.9617289390778996,0.018222805720623472
31100,0.949705756633078,0.005493357676359551
31600,0.948523580672902,0.004241738353996225
32100,0.9567672112723885,0.012969616176183345
32600,0.9486538181856952,0.0043796262767756815
33100,0.9522406273748832,0.008177131756543485
33600,0.9424106192093342,0.002230310598449669
34100,0.927166748553039,0.01836963647188885
34600,0.9334374463152775,0.011730585477526215
35100,0.9506088489332922,0.006449499410672434
35600,0.9378037884682179,0.007107755720561721
36100,0.9495914508955268,0.005372337392919848
36600,0.9344938330515989,0.010612144487682848
37100,0.9735238564103352,0.030710579906757896
37600,0.939634097352885,0.0051699308593612745
38100,0.9372547339294871,0.007689062812616283
38600,0.9359444872740528,0.0090762759570617
39100,0.9383974704390898,0.006479199692429117
39600,0.9663213918908673,0.023085028326551307
40100,0.942150132696468,0.0025060986060741067
40600,0.9410836035258214,0.0036352778169646736
41100,0.9774176585415636,0.03483311170327602
41600,0.9577238736439491,0.013982474794154947
42100,0.9401143817768003,0.0046614335751557255
42600,0.949391680112635,0.005160831677752205
43100,0.9440171455144604,0.0005294137496578191
43600,0.928731565425992,0.016712899150097524
44100,0.9364996266856738,0.008488526554606586
44600,0.9283985881691302,0.017065436151893498
45100,0.9327645737756803,0.012442983885561913
45600,0.9331971288384465,0.011985019679908778
46100,0.9384708242895473,0.006401536891209015
46600,0.9400846483525345,0.0046929135997754
47100,0.9633377601270284,0.01992613211123517
47600,0.9507677073639295,0.006617689500814574
48100,0.9431078246575476,0.0014921499184516224
48600,0.923002783875886,0.022778200698475932
49100,0.9256819875686972,0.019941615263283592
49600,0.9243869589471374,0.021312716436341212
50100,0.9434935132376837,0.0010838052256350384
50600,0.9470436387785163,0.002674861735466126
51100,0.9627007423150269,0.019251694608655574
51600,0.9318931091749597,0.01336564004654085
52100,0.9490745387164657,0.004825060766535576
52600,0.9450433676409288,0.0005570907012814628
53100,0.9515243042962865,0.007418730438610292
53600,0.9450061254766382,0.0005176608583452452
54100,0.9452575808372974,0.000783887205957671
54600,0.9419432088268824,0.0027251775944447487
55100,0.9459232460027722,0.0014886548644105187
55600,0.9381161762333227,0.006777017678132884
56100,0.9410195763930074,0.0037030660306360706
56600,0.946104679154376,0.001680745759433265
57100,0.9374795195836721,0.007451072802968146
57600,0.941325559392928,0.0033791089820100198
58100,0.9533047940728503,0.009303809718420531
58600,0.9516411576429622,0.007542447982790688
59100,0.9399709787964061,0.0048132603312328074
59600,0.9588375024075089,0.015161520321525944
60100,0.9662282538970464,0.022986419222120625
60600,0.9423733762321375,0.0022697413020437963
61100,0.9491414234299916,0.004895874420881315
61600,0.9529587158488224,0.008937402172645374
62100,0.9556186452386061,0.011753581093996185
62600,0.9582360837435687,0.014524773131619163
63100,0.9429393350966312,0.0016705368905806323
63600,0.9457681627921761,0.001324461758227479
64100,0.9455194312553413,0.0010611192372569009
64600,0.9400071389307643,0.004774976078814776
65100,0.949364335882217,0.005131881192968906
